Original text,Pseudomonas,PhagePresence,QS,Competitor presence,Community,PseudomonasCFUperml
lasR 0 0 1 lasR+Sa+Sm 8500000,lasR,0,0,1,lasR+Sa+Sm,8500000
lasR 0 0 1 lasR+Sa+Sm 3380000,lasR,0,0,1,lasR+Sa+Sm,3380000
lasR 0 0 1 lasR+Sa+Sm 14300000,lasR,0,0,1,lasR+Sa+Sm,14300000
PAO 1 1 0 PAO 24500000,PAO,1,1,0,PAO,24500000
PAO 1 1 0 PAO 17000000,PAO,1,1,0,PAO,17000000
PAO 1 1 0 PAO 36000000,PAO,1,1,0,PAO,36000000
PAO 1 1 0 PAO 6100000,PAO,1,1,0,PAO,6100000
PAO 1 1 0 PAO 17300000,PAO,1,1,0,PAO,17300000
lasR 1 0 0 lasR 15700000,lasR,1,0,0,lasR,15700000
lasR 1 0 0 lasR 16100000,lasR,1,0,0,lasR,16100000
lasR 1 0 0 lasR 5700000,lasR,1,0,0,lasR,5700000
lasR 1 0 0 lasR 82400000,lasR,1,0,0,lasR,82400000
lasR 1 0 0 lasR 41400000,lasR,1,0,0,lasR,41400000
PAO 1 1 1 PAO+Sa 560000,PAO,1,1,1,PAO+Sa,560000
PAO 1 1 1 PAO+Sa 0,PAO,1,1,1,PAO+Sa,0
PAO 1 1 1 PAO+Sa 0,PAO,1,1,1,PAO+Sa,0
PAO 1 1 1 PAO+Sa 340000,PAO,1,1,1,PAO+Sa,340000
PAO 1 1 1 PAO+Sa 2010000,PAO,1,1,1,PAO+Sa,2010000
PAO 1 1 1 PAO+Sm 0,PAO,1,1,1,PAO+Sm,0
PAO 1 1 1 PAO+Sm 400000,PAO,1,1,1,PAO+Sm,400000
PAO 1 1 1 PAO+Sm 0,PAO,1,1,1,PAO+Sm,0
PAO 1 1 1 PAO+Sm 0,PAO,1,1,1,PAO+Sm,0
PAO 1 1 1 PAO+Sm 2000000,PAO,1,1,1,PAO+Sm,2000000
lasR 1 0 1 lasR+Sa 3600000,lasR,1,0,1,lasR+Sa,3600000
lasR 1 0 1 lasR+Sa 410000,lasR,1,0,1,lasR+Sa,410000
lasR 1 0 1 lasR+Sa 2900000,lasR,1,0,1,lasR+Sa,2900000
lasR 1 0 1 lasR+Sa 186000,lasR,1,0,1,lasR+Sa,186000
lasR 1 0 1 lasR+Sa 45000,lasR,1,0,1,lasR+Sa,45000
lasR 1 0 1 lasR+Sm 10600000,lasR,1,0,1,lasR+Sm,10600000
lasR 1 0 1 lasR+Sm 12000000,lasR,1,0,1,lasR+Sm,12000000
lasR 1 0 1 lasR+Sm 27600000,lasR,1,0,1,lasR+Sm,27600000
lasR 1 0 1 lasR+Sm 20600000,lasR,1,0,1,lasR+Sm,20600000
lasR 1 0 1 lasR+Sm 10300000,lasR,1,0,1,lasR+Sm,10300000
PAO 1 1 1 PAO+Sa+Sm 348000,PAO,1,1,1,PAO+Sa+Sm,348000
PAO 1 1 1 PAO+Sa+Sm 0,PAO,1,1,1,PAO+Sa+Sm,0
PAO 1 1 1 PAO+Sa+Sm 1550000,PAO,1,1,1,PAO+Sa+Sm,1550000
PAO 1 1 1 PAO+Sa+Sm 5100000,PAO,1,1,1,PAO+Sa+Sm,5100000
PAO 1 1 1 PAO+Sa+Sm 600000,PAO,1,1,1,PAO+Sa+Sm,600000
lasR 1 0 1 lasR+Sa+Sm 2300000,lasR,1,0,1,lasR+Sa+Sm,2300000
lasR 1 0 1 lasR+Sa+Sm 16500000,lasR,1,0,1,lasR+Sa+Sm,16500000
lasR 1 0 1 lasR+Sa+Sm 17000000,lasR,1,0,1,lasR+Sa+Sm,17000000
lasR 1 0 1 lasR+Sa+Sm 14300000,lasR,1,0,1,lasR+Sa+Sm,14300000
lasR 1 0 1 lasR+Sa+Sm 720000,lasR,1,0,1,lasR+Sa+Sm,720000
